2026-02-18T13:59:43.837Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:43.837Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T13:59:49.775Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T13:59:59.766Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:09.768Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 1:59:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:13.846Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 2:00:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:00:43 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:13.847Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T14:00:13.940Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:00:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:01:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:13.940Z | INFO  | APP | Port forwarding status changed from 'PortMappingCommunication' to 'SleepingUntilRefresh'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T14:00:19.776Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:00:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:01:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:29.775Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:00:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:01:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:39.774Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:00:13 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:01:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:43.943Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'PortMappingCommunication' triggered at '18-Feb-26 2:00:43 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:01:13 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
2026-02-18T14:00:43.943Z | INFO  | APP | Port forwarding status changed from 'SleepingUntilRefresh' to 'PortMappingCommunication'. | {"Caller":"PortForwardingManager.Receive:88"}
2026-02-18T14:00:44.037Z | INFO  | PROCESS.COMM | Received PortForwarding Status 'SleepingUntilRefresh' triggered at '18-Feb-26 2:00:44 PM', Port pair 51516->51516, expiring in 00:01:00 at 18-Feb-26 2:01:44 PM | {"Caller":"ClientControllerListener.StartPortForwardingStateListenerAsync:121"}
